instance,best_violations,best_cost,aco_violations,aco_cost,random_violations,random_cost,aco_gap_pct,random_gap_pct,aco_minus_random
i01,0,3842,0,4465,0,4833,16.22,25.79,-368
i02,0,1264,0,1880,0,1960,48.73,55.06,-80
i03,0,10490,0,10860,0,11675,3.53,11.30,-815
i04,0,1884,0,4882,0,4590,159.13,143.63,292
i05,0,12760,0,15396,0,16596,20.66,30.06,-1200
i06,0,10671,0,11440,0,11744,7.21,10.06,-304
i07,0,5026,0,7948,0,8595,58.14,71.01,-647
i08,0,6291,0,17378,0,13199,176.24,109.81,4179
i09,0,6682,0,10306,0,10212,54.24,52.83,94
i10,0,20820,0,27395,0,29400,31.58,41.21,-2005
i11,0,25938,0,29125,0,31039,12.29,19.67,-1914
i12,0,12430,0,16497,0,17345,32.72,39.54,-848
i13,0,17328,0,23362,0,25879,34.82,49.35,-2517
i14,0,9746,0,13859,0,15551,42.20,59.56,-1692
i15,0,12486,0,19762,0,22453,58.27,79.83,-2691
i16,0,10139,0,15778,0,18287,55.62,80.36,-2509
i17,0,40535,0,65640,0,74330,61.93,83.37,-8690
i18,0,37660,0,47543,0,50519,26.24,34.14,-2976
i19,0,44587,0,80363,0,80118,80.24,79.69,245
i20,0,29098,0,39340,0,42876,35.20,47.35,-3536
i21,0,24703,0,37578,0,42533,52.12,72.18,-4955
i22,0,47861,0,83617,0,95334,74.71,99.19,-11717
i23,0,37550,0,68078,0,67848,81.30,80.69,230
i24,0,33221,0,41397,0,44425,24.61,33.73,-3028
i25,0,11517,0,16970,0,19285,47.35,67.45,-2315
i26,0,64613,0,103045,0,107646,59.48,66.60,-4601
i27,0,51828,0,92631,0,106586,78.73,105.65,-13955
i28,0,75172,0,86206,0,90065,14.68,19.81,-3859
i29,0,12475,0,20176,0,23126,61.73,85.38,-2950
i30,0,37943,0,56955,0,58804,50.11,54.98,-1849
