instance,best,postfix,AB,ABC,gap_AB_pct,gap_ABC_pct,AB_minus_post,ABC_minus_AB
i01,3842,4444,4434,4394,15.41,14.37,-10,-40
i02,1264,1680,1585,1598,25.4,26.42,-95,13
i03,10490,11450,11535,11440,9.96,9.06,85,-95
i04,1884,3153,3175,3136,68.52,66.45,22,-39
i05,12760,14878,14759,14671,15.67,14.98,-119,-88
i06,10671,11556,11519,11568,7.95,8.41,-37,49
i07,5026,7041,6985,6781,38.98,34.92,-56,-204
i08,6291,9143,9439,9146,50.04,45.38,296,-293
i09,6682,9429,9296,9332,39.12,39.66,-133,36
i10,20820,27960,27800,27665,33.53,32.88,-160,-135
i11,25938,30960,30827,30980,18.85,19.44,-133,153
i12,12430,15690,15248,15429,22.67,24.13,-442,181
i13,17328,25321,24977,24187,44.14,39.58,-344,-790
i14,9746,14305,14293,14042,46.66,44.08,-12,-251
i15,12486,20016,19851,19471,58.99,55.94,-165,-380
i16,10139,16247,16672,15999,64.43,57.8,425,-673
i17,40535,64695,64740,64620,59.71,59.42,45,-120
i18,37660,48250,47631,47973,26.48,27.38,-619,342
i19,44587,59297,64279,64291,44.17,44.19,4982,12
i20,29098,40670,40511,40271,39.22,38.4,-159,-240
i21,24703,37577,37076,36823,50.09,49.06,-501,-253
i22,47861,90583,90044,89446,88.14,86.89,-539,-598
i23,37550,50114,53146,54091,41.53,44.05,3032,945
i24,33221,43565,43082,43562,29.68,31.13,-483,480
i25,11517,17113,17511,17167,52.04,49.06,398,-344
i26,64613,105376,104791,104347,62.18,61.5,-585,-444
i27,51828,99090,96459,97180,86.11,87.5,-2631,721
i28,75172,88291,88583,88545,17.84,17.79,292,-38
i29,12475,22443,21530,21731,72.59,74.2,-913,201
i30,37943,48141,48172,48046,26.96,26.63,31,-126
