instance,best,postfix,ABC,ABCF,gap_ABC_pct,gap_ABCF_pct,F_minus_ABC,F_minus_post
i01,3842,4444,4394,4224,14.37,9.94,-170,-220
i02,1264,1680,1598,1618,26.42,28.01,20,-62
i03,10490,11450,11440,11030,9.06,5.15,-410,-420
i04,1884,3153,3136,3021,66.45,60.35,-115,-132
i05,12760,14878,14671,14013,14.98,9.82,-658,-865
i06,10671,11556,11568,11228,8.41,5.22,-340,-328
i07,5026,7041,6781,6926,34.92,37.8,145,-115
i08,6291,9143,9146,8949,45.38,42.25,-197,-194
i09,6682,9429,9332,9120,39.66,36.49,-212,-309
i10,20820,27960,27665,25740,32.88,23.63,-1925,-2220
i11,25938,30960,30980,27694,19.44,6.77,-3286,-3266
i12,12430,15690,15429,15268,24.13,22.83,-161,-422
i13,17328,25321,24187,22982,39.58,32.63,-1205,-2339
i14,9746,14305,14042,13297,44.08,36.44,-745,-1008
i15,12486,20016,19471,19007,55.94,52.23,-464,-1009
i16,10139,16247,15999,16638,57.8,64.1,639,391
i17,40535,64695,64620,62860,59.42,55.08,-1760,-1835
i18,37660,48250,47973,45022,27.38,19.55,-2951,-3228
i19,44587,59297,64291,66477,44.19,49.1,2186,7180
i20,29098,40670,40271,38951,38.4,33.86,-1320,-1719
i21,24703,37577,36823,36208,49.06,46.57,-615,-1369
i22,47861,90583,89446,87047,86.89,81.87,-2399,-3536
i23,37550,50114,54091,53486,44.05,42.44,-605,3372
i24,33221,43565,43562,41516,31.13,24.97,-2046,-2049
i25,11517,17113,17167,17158,49.06,48.98,-9,45
i26,64613,105376,104347,102711,61.5,58.96,-1636,-2665
i27,51828,99090,97180,92973,87.5,79.39,-4207,-6117
i28,75172,88291,88545,86135,17.79,14.58,-2410,-2156
i29,12475,22443,21731,18862,74.2,51.2,-2869,-3581
i30,37943,48141,48046,47789,26.63,25.95,-257,-352
