instance,best,hybrid,violations,gap_pct
m01,3384,4064,0,20.09
m02,12211,12800,0,4.82
m03,6697,7174,0,7.12
m04,3345,3818,0,14.14
m05,11956,12668,0,5.96
m06,28250,34106,0,20.73
m07,7329,9265,0,26.42
m08,14976,18575,0,24.03
m09,32967,39311,0,19.24
m10,26027,28644,0,10.05
m11,35030,44177,0,26.11
m12,11681,15734,0,34.7
m13,31189,39587,0,26.93
m14,13368,16264,0,21.66
m15,28727,40289,0,40.25
m16,17271,21956,0,27.13
m17,22542,24555,0,8.93
m18,7817,11319,0,44.8
m19,21790,28966,0,32.93
m20,5335,8136,0,52.5
m21,25170,32290,0,28.29
m22,21330,28941,0,35.68
m23,18301,26236,0,43.36
m24,30873,41771,0,35.3
m25,33985,41107,0,20.96
m26,69730,102668,0,47.24
m27,28028,38085,0,35.88
m28,45913,73034,0,59.07
m29,48082,88014,0,83.05
m30,31649,44434,0,40.4
