instance,best,postfix,POLISH,PHASE2,gap_POLISH_pct,gap_PHASE2_pct,PHASE2_minus_POLISH,PHASE2_minus_postfix
i01,3842,4444,4069,3997,5.91,4.03,-72,-447
i02,1264,1680,1510,1517,19.46,20.02,7,-163
i03,10490,11450,11015,10945,5.0,4.34,-70,-505
i04,1884,3153,2676,2676,42.04,42.04,0,-477
i05,12760,14878,13775,13567,7.95,6.32,-208,-1311
i06,10671,11556,11043,10997,3.49,3.06,-46,-559
i07,5026,7041,6401,6485,27.36,29.03,84,-556
i08,6291,9143,8535,8928,35.67,41.92,393,-215
i09,6682,9429,8522,8681,27.54,29.92,159,-748
i10,20820,27960,23690,24050,13.78,15.51,360,-3910
i11,25938,30960,27418,26938,5.71,3.86,-480,-4022
i12,12430,15690,14655,14240,17.9,14.56,-415,-1450
i13,17328,25321,22589,22566,30.36,30.23,-23,-2755
i14,9746,14305,12205,12595,25.23,29.23,390,-1710
i15,12486,20016,17251,16897,38.16,35.33,-354,-3119
i16,10139,16247,16166,15567,59.44,53.54,-599,-680
i17,40535,64695,59705,60075,47.29,48.21,370,-4620
i18,37660,48250,43536,43385,15.6,15.2,-151,-4865
i19,44587,59297,65116,64854,46.04,45.45,-262,5557
i20,29098,40670,35891,37133,23.35,27.61,1242,-3537
i21,24703,37577,34249,34674,38.64,40.36,425,-2903
i22,47861,90583,81750,82327,70.81,72.01,577,-8256
i23,37550,50114,53139,52870,41.52,40.8,-269,2756
i24,33221,43565,41535,41515,25.03,24.97,-20,-2050
i25,11517,17113,15974,15897,38.7,38.03,-77,-1216
i26,64613,105376,97904,96649,51.52,49.58,-1255,-8727
i27,51828,99090,89455,90552,72.6,74.72,1097,-8538
i28,75172,88291,85546,85362,13.8,13.56,-184,-2929
i29,12475,22443,19554,19506,56.75,56.36,-48,-2937
i30,37943,48141,47114,47121,24.17,24.19,7,-1020
