instance,best,postfix,ABCF,POLISH,gap_ABCF_pct,gap_POLISH_pct,POLISH_minus_ABCF,POLISH_minus_postfix
i01,3842,4444,4224,4069,9.94,5.91,-155,-375
i02,1264,1680,1618,1510,28.01,19.46,-108,-170
i03,10490,11450,11030,11015,5.15,5.0,-15,-435
i04,1884,3153,3021,2676,60.35,42.04,-345,-477
i05,12760,14878,14013,13775,9.82,7.95,-238,-1103
i06,10671,11556,11228,11043,5.22,3.49,-185,-513
i07,5026,7041,6926,6401,37.8,27.36,-525,-640
i08,6291,9143,8949,8535,42.25,35.67,-414,-608
i09,6682,9429,9120,8522,36.49,27.54,-598,-907
i10,20820,27960,25740,23690,23.63,13.78,-2050,-4270
i11,25938,30960,27694,27418,6.77,5.71,-276,-3542
i12,12430,15690,15268,14655,22.83,17.9,-613,-1035
i13,17328,25321,22982,22589,32.63,30.36,-393,-2732
i14,9746,14305,13297,12205,36.44,25.23,-1092,-2100
i15,12486,20016,19007,17251,52.23,38.16,-1756,-2765
i16,10139,16247,16638,16166,64.1,59.44,-472,-81
i17,40535,64695,62860,59705,55.08,47.29,-3155,-4990
i18,37660,48250,45022,43536,19.55,15.6,-1486,-4714
i19,44587,59297,66477,65116,49.1,46.04,-1361,5819
i20,29098,40670,38951,35891,33.86,23.35,-3060,-4779
i21,24703,37577,36208,34249,46.57,38.64,-1959,-3328
i22,47861,90583,87047,81750,81.87,70.81,-5297,-8833
i23,37550,50114,53486,53139,42.44,41.52,-347,3025
i24,33221,43565,41516,41535,24.97,25.03,19,-2030
i25,11517,17113,17158,15974,48.98,38.7,-1184,-1139
i26,64613,105376,102711,97904,58.96,51.52,-4807,-7472
i27,51828,99090,92973,89455,79.39,72.6,-3518,-9635
i28,75172,88291,86135,85546,14.58,13.8,-589,-2745
i29,12475,22443,18862,19554,51.2,56.75,692,-2889
i30,37943,48141,47789,47114,25.95,24.17,-675,-1027
