instance,random_violations,random_cost,aco_violations,aco_cost,random_cost_prefix,aco_cost_prefix,random_delta,aco_delta
i01,0,4545,0,4444,4833,4640,-288,-196
i02,0,1723,0,1680,1960,1840,-237,-160
i03,0,11505,0,11450,11675,11335,-170,115
i04,0,3300,0,3153,4590,4822,-1290,-1669
i05,0,15025,0,14878,16596,15660,-1571,-782
i06,0,11542,0,11556,11744,11551,-202,5
i07,0,7507,0,7041,8595,8098,-1088,-1057
i08,0,9649,0,9143,13199,15615,-3550,-6472
i09,0,10187,0,9429,10212,10211,-25,-782
i10,0,29675,0,27960,29400,27965,275,-5
i11,0,30837,0,30960,31039,31341,-202,-381
i12,0,16232,0,15690,17345,16655,-1113,-965
i13,0,26696,0,25321,25879,24594,817,727
i14,0,15190,0,14305,15551,14676,-361,-371
i15,0,21806,0,20016,22453,21094,-647,-1078
i16,0,16138,0,16247,18287,17752,-2149,-1505
i17,0,69300,0,64695,74330,69980,-5030,-5285
i18,0,48643,0,48250,50519,48738,-1876,-488
i19,0,71657,0,59297,80118,79885,-8461,-20588
i20,0,41372,0,40670,42876,40989,-1504,-319
i21,0,40040,0,37577,42533,40021,-2493,-2444
i22,0,95677,0,90583,95334,88489,343,2094
i23,0,60958,0,50114,67848,68338,-6890,-18224
i24,0,43368,0,43565,44425,42999,-1057,566
i25,0,18130,0,17113,19285,17595,-1155,-482
i26,0,108202,0,105376,107646,107079,556,-1703
i27,0,99361,0,99090,106586,99816,-7225,-726
i28,0,88018,0,88291,90065,88297,-2047,-6
i29,0,22417,0,22443,23126,22605,-709,-162
i30,0,53188,0,48141,58804,57785,-5616,-9644
